Text,Sarcasm Label,clean_text,label
অসুস্থ ছিলাম আরও অসুস্থ হয়ে গেলাম,Sarcastic,অসুস্থ ছিলাম আরও অসুস্থ হয়ে গেলাম,1
লকডাউন এক শ ℅ সফল । এগুলো লকডাউনের সাইড এফেক্ট ।,Sarcastic,লকডাউন এক শ সফল । এগুলো লকডাউনের সাইড এফেক্ট ।,1
নান্নু আর সুজনকে সানি লিওনের কাছে পাঠাতে হবে,Sarcastic,নান্নু আর সুজনকে সানি লিওনের কাছে পাঠাতে হবে,1
ভাই এটা কিসের দাগ ?,Non-Sarcastic,ভাই এটা কিসের দাগ ?,0
সভা সমাবেশ প্রতিবাদ মিছিল থামানোর নতুন পথ,Non-Sarcastic,সভা সমাবেশ প্রতিবাদ মিছিল থামানোর নতুন পথ,0
আজকের সময় নিউজে দেখলাম পরিমনির ফিরিয়ড হইছে সংবাদিকরা কত টেইক কেয়ার করে তোমার শয়তানের বাচ্চা যতো আকাম কুকাম করে দেশটাকে নরক বানাইছোছ তোরা,Sarcastic,আজকের সময় নিউজে দেখলাম পরিমনির ফিরিয়ড হইছে সংবাদিকরা কত টেইক কেয়ার করে তোমার শয়তানের বাচ্চা যতো আকাম কুকাম করে দেশটাকে নরক বানাইছোছ তোরা,1
বাংলাদেশের দুর্নীতির কারণে ক্যামেরাম্যান ক্যামেরার সমস্যা আর বহির্বিশ্বের বাংলাদেশ নিয়ে মানসিক সমস্যা,Sarcastic,বাংলাদেশের দুর্নীতির কারণে ক্যামেরাম্যান ক্যামেরার সমস্যা আর বহির্বিশ্বের বাংলাদেশ নিয়ে মানসিক সমস্যা,1
আল্লাহ গজব পরুক ওদের উপর ।,Non-Sarcastic,আল্লাহ গজব পরুক ওদের উপর ।,0
এরা ধোকাবাজ প্রতারক এই এনজিওগুলোকে বয়কট করুন এরা হত দরিদ্র মানুষকে শোষন করে আরো দরিদ্র বানাচ্ছে,Non-Sarcastic,এরা ধোকাবাজ প্রতারক এই এনজিওগুলোকে বয়কট করুন এরা হত দরিদ্র মানুষকে শোষন করে আরো দরিদ্র বানাচ্ছে,0
বিবিসিকে প্রায় সবাই অনেক গুরুত্ব দেয় তবে এরকম ফালতু বিষয়ে নিউজ করলে আস্তে আস্তে গুরুত্ব কমে যাবে ।,Sarcastic,বিবিসিকে প্রায় সবাই অনেক গুরুত্ব দেয় তবে এরকম ফালতু বিষয়ে নিউজ করলে আস্তে আস্তে গুরুত্ব কমে যাবে ।,1
প্রথম আলোর সাংসারিক ভাইকে অসংখ্য ধন্যবাদ যারা বি সি এস এ অংশ নিতে যাচ্ছেন তাদের জন্য এই ইনফরমেশন টি খুবই ইনফরমেটিভ,Non-Sarcastic,প্রথম আলোর সাংসারিক ভাইকে অসংখ্য ধন্যবাদ যারা বি সি এস এ অংশ নিতে যাচ্ছেন তাদের জন্য এই ইনফরমেশন টি খুবই ইনফরমেটিভ,0
কঙ্গোতে বাংলাদেশ সেনাবাহিনীর প্রবল আক্রমণে পালিয়েছে মিলিশিয়ারা ।,Non-Sarcastic,কঙ্গোতে বাংলাদেশ সেনাবাহিনীর প্রবল আক্রমণে পালিয়েছে মিলিশিয়ারা ।,0
তীব্র নিন্দা জানাচ্ছি যিনি পালিয়ে গিয়ে একাই দেশকে স্বাধীনতা করেছিলো পলাতক বীর মুক্তিযোদ্ধা দেবদাসান্দ্রনাথ থাকুরের বাড়ি ভাংগার জন্য,Sarcastic,তীব্র নিন্দা জানাচ্ছি যিনি পালিয়ে গিয়ে একাই দেশকে স্বাধীনতা করেছিলো পলাতক বীর মুক্তিযোদ্ধা দেবদাসান্দ্রনাথ থাকুরের বাড়ি ভাংগার জন্য,1
ভাই মঙ্গল গ্রহের ঠিকানা টা কোন দিকে আমি যেতে চাই,Sarcastic,ভাই মঙ্গল গ্রহের ঠিকানা টা কোন দিকে আমি যেতে চাই,1
যারা কমেন্ট করছেন দয়া করে বানান ঠিক রাখুন । উত্তেজিত অবস্থায় দ্রুত কমেন্ট করতে গিয়ে বানান ভুল করবেন না আমরা যারা কমেন্ট পড়তে আসি আমাদের পড়তে বেশ অসুবিধা হয় জনস্বার্থে কমেন্ট রিডার এসোসিয়েশন অব বাংলাদেশ ।,Sarcastic,যারা কমেন্ট করছেন দয়া করে বানান ঠিক রাখুন । উত্তেজিত অবস্থায় দ্রুত কমেন্ট করতে গিয়ে বানান ভুল করবেন না আমরা যারা কমেন্ট পড়তে আসি আমাদের পড়তে বেশ অসুবিধা হয় জনস্বার্থে কমেন্ট রিডার এসোসিয়েশন অব বাংলাদেশ ।,1
গাড়ির শোরুম গুলাতে এখন গাড়ির পাশাপাশি উট বেচা উচিত ।,Sarcastic,গাড়ির শোরুম গুলাতে এখন গাড়ির পাশাপাশি উট বেচা উচিত ।,1
এটা ইউজ এর পর রেডি পিকআপ একদম ওয়ালটন গাড়ির মত হয়ে যায় ।,Non-Sarcastic,এটা ইউজ এর পর রেডি পিকআপ একদম ওয়ালটন গাড়ির মত হয়ে যায় ।,0
বয়কট করুন এ সাবান ইসরায়েলের পন্য ।,Non-Sarcastic,বয়কট করুন এ সাবান ইসরায়েলের পন্য ।,0
খুব শান্তশিষ্টা একটি পোকা এর কাজ শুধু নাকে মুখে চোখে ঢোকা,Sarcastic,খুব শান্তশিষ্টা একটি পোকা এর কাজ শুধু নাকে মুখে চোখে ঢোকা,1
আমার মন খারাপ কেন হেইডাও কও সাংবাদিক ।,Sarcastic,আমার মন খারাপ কেন হেইডাও কও সাংবাদিক ।,1
মামা ব্রাজিল সাপোর্টারদের জন্য ভাড়া ডাবল তাদের বলে দিও । এরা এখন কাইন্দা কুল পাইব না ।,Sarcastic,মামা ব্রাজিল সাপোর্টারদের জন্য ভাড়া ডাবল তাদের বলে দিও । এরা এখন কাইন্দা কুল পাইব না ।,1
হা হা এটাই বাস্তব,Sarcastic,হা হা এটাই বাস্তব,1
সুন্দরভাবে উপস্থাপনা করার জন্য ধন্যবাদ,Non-Sarcastic,সুন্দরভাবে উপস্থাপনা করার জন্য ধন্যবাদ,0
খুব ভালো আছেন ভাবছেন এইতো সব,Sarcastic,খুব ভালো আছেন ভাবছেন এইতো সব,1
তরে লইয়া আর পারি না পরি,Sarcastic,তরে লইয়া আর পারি না পরি,1
কোনো প্রাইমারি স্কুল থেকে ডক্টরেট ডিগ্রি যাতে পান সেই কামনা রইল ।,Sarcastic,কোনো প্রাইমারি স্কুল থেকে ডক্টরেট ডিগ্রি যাতে পান সেই কামনা রইল ।,1
প্যারা নাই চিল,Sarcastic,প্যারা নাই চিল,1
মালাউন বলার আগে একবার ভাবুন কাদেরকে এই গালি দিচ্ছেন,Non-Sarcastic,মালাউন বলার আগে একবার ভাবুন কাদেরকে এই গালি দিচ্ছেন,0
যে ক্যাপ্টেন্সি করতেছেন তাতে কাম ব্যাক করা লাগবে না । আপনাদের কথাবার্তা শুনে মনে হয় আফগানিস্থান না অস্ট্রেলিয়ার সাথে খেলতেছেন ।,Sarcastic,যে ক্যাপ্টেন্সি করতেছেন তাতে কাম ব্যাক করা লাগবে না । আপনাদের কথাবার্তা শুনে মনে হয় আফগানিস্থান না অস্ট্রেলিয়ার সাথে খেলতেছেন ।,1
অভিযান বাইরে না চালিয়ে সেনানিবাসে চালান সব বদমায়েশকে তো ওখানেই লুকিয়ে রাখা আছে,Non-Sarcastic,অভিযান বাইরে না চালিয়ে সেনানিবাসে চালান সব বদমায়েশকে তো ওখানেই লুকিয়ে রাখা আছে,0
আল্লাহ ছাড় দেয় ছেড়ে দেয় না তার পাকড়াও অনেক কঠিন হাসিনার কপালে অনেক কষ্ট আছে আমি হাসিনা কর্মীদের বলতে চাই আপনারা জেনেশুনে অন্যায় কারীর পক্ষ নিয়েন না তার শাস্তি তাকে পেতে দিন বৈষম্য বিরোধি না আল্লাহ তাকে ধরছে তো সাবধান হয়ে যান,Non-Sarcastic,আল্লাহ ছাড় দেয় ছেড়ে দেয় না তার পাকড়াও অনেক কঠিন হাসিনার কপালে অনেক কষ্ট আছে আমি হাসিনা কর্মীদের বলতে চাই আপনারা জেনেশুনে অন্যায় কারীর পক্ষ নিয়েন না তার শাস্তি তাকে পেতে দিন বৈষম্য বিরোধি না আল্লাহ তাকে ধরছে তো সাবধান হয়ে যান,0
ঈদ মোবারক । সবাইকে ঈদের শুভেচ্ছা ।,Non-Sarcastic,ঈদ মোবারক । সবাইকে ঈদের শুভেচ্ছা ।,0
তোর এত সমস্যা কেন ভাই বেয়াদব ছেলে,Non-Sarcastic,তোর এত সমস্যা কেন ভাই বেয়াদব ছেলে,0
তারাই বেশি কমেন্ট করে যাদের সময় শেষ হয় না,Sarcastic,তারাই বেশি কমেন্ট করে যাদের সময় শেষ হয় না,1
মোহর শঙ্খের সম্পর্কে চিড় ধরলে আপনাদেরকে চিড় চিড় করে ফালা ফালা করে দেওয়া হবে,Sarcastic,মোহর শঙ্খের সম্পর্কে চিড় ধরলে আপনাদেরকে চিড় চিড় করে ফালা ফালা করে দেওয়া হবে,1
জান অথবা বাবু বললে আমি নিশ্চিত যে উনি এ রকমটা করতেন না ।,Sarcastic,জান অথবা বাবু বললে আমি নিশ্চিত যে উনি এ রকমটা করতেন না ।,1
নিজের ভালো পাগলও বোঝে ।,Non-Sarcastic,নিজের ভালো পাগলও বোঝে ।,0
তাইলে সময় টিভি কেমনে পোষ্ট করলো আর আমি কেমনে কমেন্ট করলাম,Sarcastic,তাইলে সময় টিভি কেমনে পোষ্ট করলো আর আমি কেমনে কমেন্ট করলাম,1
কানি চারুর মুখ টা ওমন কেনো ?,Non-Sarcastic,কানি চারুর মুখ টা ওমন কেনো ?,0
ভেবেছিলাম ঈদের দিন অন্তত আবহাওয়া ভালো থাকবে । কিন্তু ঘূর্ণিঝড় মাহফুজের আগাম বার্তা সম্ভাব্য ঈদের আনন্দকে মাটি করে দিলো ।,Sarcastic,ভেবেছিলাম ঈদের দিন অন্তত আবহাওয়া ভালো থাকবে । কিন্তু ঘূর্ণিঝড় মাহফুজের আগাম বার্তা সম্ভাব্য ঈদের আনন্দকে মাটি করে দিলো ।,1
জয় হবে ইনশাআল্লাহ,Non-Sarcastic,জয় হবে ইনশাআল্লাহ,0
ঢাবিতে না পড়েও এই বাসে ভ্রমণ করেছি,Sarcastic,ঢাবিতে না পড়েও এই বাসে ভ্রমণ করেছি,1
তাহলে আক্রান্ত হচ্ছে কারা ?,Non-Sarcastic,তাহলে আক্রান্ত হচ্ছে কারা ?,0
প্রিয় ব্যক্তিত্বর জন্য পূর্বাচলে প্লট পায়নাই,Sarcastic,প্রিয় ব্যক্তিত্বর জন্য পূর্বাচলে প্লট পায়নাই,1
ছেলেরা নিজের গার্লফ্রেন্ডের জন্য মান সম্মান টা ও বিলিয়ে দেয় তারপর ও কিছু মেয়ে বলে ছেলেরা ভালোবাসে না,Sarcastic,ছেলেরা নিজের গার্লফ্রেন্ডের জন্য মান সম্মান টা ও বিলিয়ে দেয় তারপর ও কিছু মেয়ে বলে ছেলেরা ভালোবাসে না,1
ভাই লাল বাটির চামচটা কি ইস্পাহানি চায়ের সাথে ফ্রি পাইসেন ?,Sarcastic,ভাই লাল বাটির চামচটা কি ইস্পাহানি চায়ের সাথে ফ্রি পাইসেন ?,1
পঁচাত্তর রানে হারার পর ক্লোজ ম্যাচ হেরেছো খুব ভালো এভাবে প্রতিজ্ঞা করো আর নিরাশ করো আমাদের ধন্যবাদ,Sarcastic,পঁচাত্তর রানে হারার পর ক্লোজ ম্যাচ হেরেছো খুব ভালো এভাবে প্রতিজ্ঞা করো আর নিরাশ করো আমাদের ধন্যবাদ,1
সরকারের কথা কেহ শুনছে না । ফেরী চলে কার কথায় ?,Non-Sarcastic,সরকারের কথা কেহ শুনছে না । ফেরী চলে কার কথায় ?,0
তেলবাজি তে এক নম্বরে বাঙালির অবস্থান । ব্রাজিল সাপোর্টাররাও তেলবাজি কে ভালবাসে,Sarcastic,তেলবাজি তে এক নম্বরে বাঙালির অবস্থান । ব্রাজিল সাপোর্টাররাও তেলবাজি কে ভালবাসে,1
আরে তুই কি বাইচ্চা এই গেঞ্জি কিনছ জাতে তোর কমেন্ট বেশি আসে?,Sarcastic,আরে তুই কি বাইচ্চা এই গেঞ্জি কিনছ জাতে তোর কমেন্ট বেশি আসে?,1
সারাদিন গর্তে ছিলা এখন বের হইছো একটা লেইম মিম নিয়া ?,Sarcastic,সারাদিন গর্তে ছিলা এখন বের হইছো একটা লেইম মিম নিয়া ?,1
সাকিব ভাই তুমি সবচেয়ে একটা ভাল কাজ করছ বিপদের সময় রোহিঙ্গাদের সাহায্য করেছ । ধন্যবাদ ।,Non-Sarcastic,সাকিব ভাই তুমি সবচেয়ে একটা ভাল কাজ করছ বিপদের সময় রোহিঙ্গাদের সাহায্য করেছ । ধন্যবাদ ।,0
এন্টিক মনে হইতেছে !,Non-Sarcastic,এন্টিক মনে হইতেছে !,0
কাচ্চি ডাইন এর কি বিজ্ঞাপনের খরা লেগেছে,Non-Sarcastic,কাচ্চি ডাইন এর কি বিজ্ঞাপনের খরা লেগেছে,0
আমি আরোও ভাবলাম ওর জিহ্বাই নতুন কোন রোগ হলো কি না ! কি বিশ্রী মন আমার অন্তত ওর পোজ থেকে ভালো বিশ্রী পোজ,Sarcastic,আমি আরোও ভাবলাম ওর জিহ্বাই নতুন কোন রোগ হলো কি না ! কি বিশ্রী মন আমার অন্তত ওর পোজ থেকে ভালো বিশ্রী পোজ,1
আলম ভাই যে দিকে ইশারা দেয় ঐ দিকের কোন হার নাই বুঝছো ?,Sarcastic,আলম ভাই যে দিকে ইশারা দেয় ঐ দিকের কোন হার নাই বুঝছো ?,1
শেষ বয়সে স্কুলে যাবেন নাকি ?,Non-Sarcastic,শেষ বয়সে স্কুলে যাবেন নাকি ?,0
রিইউনিওনে নিজের ডায়েট সচেতনতার কথা জানানো,Non-Sarcastic,রিইউনিওনে নিজের ডায়েট সচেতনতার কথা জানানো,0
এটুকু আর রাখ ঢাক রেখে লাভ কি ! সরিয়ে দিলেই পারো জনসেবা হয় একটু । পোলাপান গুলারও মনবাসনা পূর্ণ হয় ।,Sarcastic,এটুকু আর রাখ ঢাক রেখে লাভ কি ! সরিয়ে দিলেই পারো জনসেবা হয় একটু । পোলাপান গুলারও মনবাসনা পূর্ণ হয় ।,1
জনগনের দোষ কোথায় জনগনের ভোগান্তির জন্য রানিং স্টাপ দের আইনের আওতায় আনা উচিত অতি জরুলি,Non-Sarcastic,জনগনের দোষ কোথায় জনগনের ভোগান্তির জন্য রানিং স্টাপ দের আইনের আওতায় আনা উচিত অতি জরুলি,0
যে যায় আর যার যায় তাদের ছাড়া অন্য কারো কিচ্ছু যায় আসে না,Non-Sarcastic,যে যায় আর যার যায় তাদের ছাড়া অন্য কারো কিচ্ছু যায় আসে না,0
অপেক্ষা করতে কোন সমস্যা নাই তবে এই গান যদি সম্ভাব্য বেবির মত এব্রোশন হয়ে যায় তবে আর চুপ থাকবো না ।,Non-Sarcastic,অপেক্ষা করতে কোন সমস্যা নাই তবে এই গান যদি সম্ভাব্য বেবির মত এব্রোশন হয়ে যায় তবে আর চুপ থাকবো না ।,0
শেখের বেটি আবার আসবে টেনশন করো না ব্রো,Sarcastic,শেখের বেটি আবার আসবে টেনশন করো না ব্রো,1
অপু আর বুবলি দুইজন দুইটা টিমে থাক,Sarcastic,অপু আর বুবলি দুইজন দুইটা টিমে থাক,1
সাকিব ভাইয়ের বউ দেখলে বুজা যায় হোয়াইটওয়াশ এর রুপ কেমন সব ময়দা ।,Sarcastic,সাকিব ভাইয়ের বউ দেখলে বুজা যায় হোয়াইটওয়াশ এর রুপ কেমন সব ময়দা ।,1
মেয়েটার ভয়েজ সুন্দর আছে,Sarcastic,মেয়েটার ভয়েজ সুন্দর আছে,1
কালকের ম্যাচে আপনাকে পাবোনা এটা ভাবতেই কেমন জানি গা শিউরে উঠছে ! যেই হোক নতুন ভাবে নতুন উধ্যমে আবার ফিরে আসবেন এটাই কোটি ক্রিকেট প্রেমিদের আশা।,Non-Sarcastic,কালকের ম্যাচে আপনাকে পাবোনা এটা ভাবতেই কেমন জানি গা শিউরে উঠছে ! যেই হোক নতুন ভাবে নতুন উধ্যমে আবার ফিরে আসবেন এটাই কোটি ক্রিকেট প্রেমিদের আশা।,0
যাদের এখনো সন্দেহ রয়েছে তারা একটু পানি পান করে জীবনের অমরত্ব সাধন করেন,Sarcastic,যাদের এখনো সন্দেহ রয়েছে তারা একটু পানি পান করে জীবনের অমরত্ব সাধন করেন,1
শুভ জন্মদিন ভাবি ছোটবেলায় যখন খালাবাড়িতে বেড়াইতে গিয়েছিলাম তখন দেখতাম ঐ এলাকায় মেয়ে হিসেবে শুধু আপনি ই সাইকেল চালাতেন । তখন খালামনি কে বলতাম আন্টি এই আপুও কি আমাদের মতো ঢাকা থেকে বেড়াইতে আসছে ?,Non-Sarcastic,শুভ জন্মদিন ভাবি ছোটবেলায় যখন খালাবাড়িতে বেড়াইতে গিয়েছিলাম তখন দেখতাম ঐ এলাকায় মেয়ে হিসেবে শুধু আপনি ই সাইকেল চালাতেন । তখন খালামনি কে বলতাম আন্টি এই আপুও কি আমাদের মতো ঢাকা থেকে বেড়াইতে আসছে ?,0
আমি ডানা কাটা পরী আমি নাইট ক্লাবে ঘুড়ি ঘুরতে ঘুরতে একদিন হঠাৎ ধরা পড়ি হায়রে কি যে করি আমি ডানা কাটা পরী,Sarcastic,আমি ডানা কাটা পরী আমি নাইট ক্লাবে ঘুড়ি ঘুরতে ঘুরতে একদিন হঠাৎ ধরা পড়ি হায়রে কি যে করি আমি ডানা কাটা পরী,1
আরে ওদের দুজনের পরিবার আপনাদের এতো মাথা ব্যথা কীসের ওরা ঠিক সামলে নেবে আপনারা যত নাক গলাবেন তত ঝামেলা বেড়ে যাবে আপনারা চুপ দেন দেখবেন সিরিয়াল টাই চুপ হয়ে যাবে,Sarcastic,আরে ওদের দুজনের পরিবার আপনাদের এতো মাথা ব্যথা কীসের ওরা ঠিক সামলে নেবে আপনারা যত নাক গলাবেন তত ঝামেলা বেড়ে যাবে আপনারা চুপ দেন দেখবেন সিরিয়াল টাই চুপ হয়ে যাবে,1
অন্য সকল মহিলা কি বাপ হইছে ? তাদেরও তো সন্তান হইছে ৷,Sarcastic,অন্য সকল মহিলা কি বাপ হইছে ? তাদেরও তো সন্তান হইছে ৷,1
সরকার পাল্টাইলে কত চেনেল যে হারিয়ে যাবে আল্লাই যানে,Sarcastic,সরকার পাল্টাইলে কত চেনেল যে হারিয়ে যাবে আল্লাই যানে,1
পরি আপায় হেড অফিস তে প্রশাংসা পত্র পাইছে । প্রমোশন নিশ্চিত,Non-Sarcastic,পরি আপায় হেড অফিস তে প্রশাংসা পত্র পাইছে । প্রমোশন নিশ্চিত,0
এখন তার একাদশে বৃহস্পতি ।,Non-Sarcastic,এখন তার একাদশে বৃহস্পতি ।,0
কেয়ামত হওয়ার আগে যেই লক্ষন গুলো প্রকাশ পাবে তার মধ্যে অন্যতম একটি লক্ষন হলো চোর বদমাস মুর্খ অযোগ্য লোক গুলো রাষ্ট্রের গুরুত্বপূর্ণ পদ দখল করে নেতৃত্ব দেবে,Non-Sarcastic,কেয়ামত হওয়ার আগে যেই লক্ষন গুলো প্রকাশ পাবে তার মধ্যে অন্যতম একটি লক্ষন হলো চোর বদমাস মুর্খ অযোগ্য লোক গুলো রাষ্ট্রের গুরুত্বপূর্ণ পদ দখল করে নেতৃত্ব দেবে,0
বিশ্ববিদ্যালয় জীবনের একদম শুরুর দিনগুলিতে এমন অভিজ্ঞতা থাকে সবারই। একটুখানি পরিচিত হওয়া আর অনেক খাওয়া দাওয়া ।,Non-Sarcastic,বিশ্ববিদ্যালয় জীবনের একদম শুরুর দিনগুলিতে এমন অভিজ্ঞতা থাকে সবারই। একটুখানি পরিচিত হওয়া আর অনেক খাওয়া দাওয়া ।,0
ওমন বৌ বাংলার ঘরে ঘরে গজিয়ে উঠুক । তখনই প্রিয় বৌ বলা বেরিয়ে যাবে। ,Sarcastic,ওমন বৌ বাংলার ঘরে ঘরে গজিয়ে উঠুক । তখনই প্রিয় বৌ বলা বেরিয়ে যাবে।,1
আমি সরাসরি এদের দলের গান শুনছি তাঁরা সবাই অসাধারণ । শুধু আমি না অনেকেই এদের গানে মুগ্ধ ।,Non-Sarcastic,আমি সরাসরি এদের দলের গান শুনছি তাঁরা সবাই অসাধারণ । শুধু আমি না অনেকেই এদের গানে মুগ্ধ ।,0
অসাধারণ বন্ধুত্ব ভারতের ? বাংলাদেশের দূর্দিনে নেই টিকা,Sarcastic,অসাধারণ বন্ধুত্ব ভারতের ? বাংলাদেশের দূর্দিনে নেই টিকা,1
কাড়াকাড়ি করতে গিয়ে না ছিঁড়ে ফেললেই হয় ।,Non-Sarcastic,কাড়াকাড়ি করতে গিয়ে না ছিঁড়ে ফেললেই হয় ।,0
চোখ গুলো কি সুন্দর ।,Non-Sarcastic,চোখ গুলো কি সুন্দর ।,0
এটাই জীবনের মানে,Non-Sarcastic,এটাই জীবনের মানে,0
কিছু কমু না । শুধু এটা বলতে চাই মমিনুল শেষ পর্যন্ত থাকলে যে কোন কিছুই হতে পারে ।,Non-Sarcastic,কিছু কমু না । শুধু এটা বলতে চাই মমিনুল শেষ পর্যন্ত থাকলে যে কোন কিছুই হতে পারে ।,0
সাকিববা তোর বউয়ের সাদা জামা টা বদলায়তি পারছনা টাকা না থাকলে আমাকে বলিস,Sarcastic,সাকিববা তোর বউয়ের সাদা জামা টা বদলায়তি পারছনা টাকা না থাকলে আমাকে বলিস,1
কে বলছে ছেঁড়া কাঁথায় শুয়ে লাখ টাকার স্বপ্ন দেখা যায়না ?,Non-Sarcastic,কে বলছে ছেঁড়া কাঁথায় শুয়ে লাখ টাকার স্বপ্ন দেখা যায়না ?,0
এটা খুন আর লাশ দেখে বুঝলাম এ ছাত্র হয় ঢাবির নাহলে বাহিরের কোথাও র৷ আর এই ঢাবি এরিয়ায় এসব হওয়া আর করা একমাত্র ক্যাম্পাসের পাওয়ারফুল দের দ্বারাই সম্ভব,Non-Sarcastic,এটা খুন আর লাশ দেখে বুঝলাম এ ছাত্র হয় ঢাবির নাহলে বাহিরের কোথাও র৷ আর এই ঢাবি এরিয়ায় এসব হওয়া আর করা একমাত্র ক্যাম্পাসের পাওয়ারফুল দের দ্বারাই সম্ভব,0
খবরদার মিয়া হেতিরে মুই গতকাল থেইকা ভালোবাসি।,Sarcastic,খবরদার মিয়া হেতিরে মুই গতকাল থেইকা ভালোবাসি।,1
ওরে পরি সোনা । এভাবে হা করে থেকো না । ঢেলে দিবো,Sarcastic,ওরে পরি সোনা । এভাবে হা করে থেকো না । ঢেলে দিবো,1
মাশাল্লাহ্ । ভাস্তিদের সুন্দর লাগছে ।,Non-Sarcastic,মাশাল্লাহ্ । ভাস্তিদের সুন্দর লাগছে ।,0
কেন রে শালি তোর গুয়া ফাটিয়া গীয়াছে হরঃঅবো সহিতে পারিশ না শামলা,Non-Sarcastic,কেন রে শালি তোর গুয়া ফাটিয়া গীয়াছে হরঃঅবো সহিতে পারিশ না শামলা,0
ইংলিশ কইলে সমস্যা নাই বাংলা কইলেই সমস্যা,Sarcastic,ইংলিশ কইলে সমস্যা নাই বাংলা কইলেই সমস্যা,1
শ্রী কৃষ্ণ ভক্ত মীরা চরিত্রে আমার শার্লি কে দাও ।,Non-Sarcastic,শ্রী কৃষ্ণ ভক্ত মীরা চরিত্রে আমার শার্লি কে দাও ।,0
ডিম না পাড়ায় নুনুবেলের বিরুদ্ধে থানায় অভিযোগ,Sarcastic,ডিম না পাড়ায় নুনুবেলের বিরুদ্ধে থানায় অভিযোগ,1
অন্ধকারে ভয় পেয়ো না আলো আছে আড়ালে অন্ধকার পালিয়ে যাবে তুমি উঠে দাঁড়ালে,Non-Sarcastic,অন্ধকারে ভয় পেয়ো না আলো আছে আড়ালে অন্ধকার পালিয়ে যাবে তুমি উঠে দাঁড়ালে,0
তাই শুধু মাত্র আপনার পোস্ট দেখার জন্য বাসার ডিম পাড়া মুরগি বেঁচে এম বি কিনে বসে আছি,Sarcastic,তাই শুধু মাত্র আপনার পোস্ট দেখার জন্য বাসার ডিম পাড়া মুরগি বেঁচে এম বি কিনে বসে আছি,1
